of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8438.201027087927,8438.199090375365,8440.129989294648,5.357272975327344e+17,1.1117621356555375e+18
8432.966932791687,8432.965820722342,8431.858086203567,5.3510347774254394e+17,1.1104240005300068e+18
8418.507547715646,8418.508329316934,8414.15597226086,5.3356727064765997e+17,1.1069166459021979e+18
8436.337887435026,8436.33644104443,8436.639313721116,5.3509207866351674e+17,1.1108726102773521e+18
8435.71342111991,8435.710909186559,8434.6992861979,5.354421861877726e+17,1.1111375138310886e+18
8437.708548209135,8437.704444691279,8437.749425726086,5.355435606326567e+17,1.1115112092529523e+18
8410.827570909754,8410.825779872943,8410.261826042273,5.3283237214311443e+17,1.1051360288916392e+18
8436.532781529224,8436.532400572327,8434.28073506607,5.363780102004003e+17,1.1121852084587639e+18
8441.928426026372,8441.927588563507,8440.095863367666,5.3612304722150054e+17,1.1126669937405024e+18
8437.275022388769,8437.274647605616,8439.289734387186,5.3548080421346605e+17,1.1113892194914588e+18
8422.365660833662,8422.363681196372,8424.882251756586,5.3326575582829254e+17,1.1071406014841536e+18
8448.413917191836,8448.41160599791,8449.29872807982,5.3669102184107757e+17,1.1141210981668785e+18
8426.357831280086,8426.354589757044,8421.25078085068,5.347413097568544e+17,1.1091605021902057e+18
8438.60244292884,8438.600667921413,8441.169216136152,5.3499776094476614e+17,1.111087389963636e+18
8422.95860216444,8422.95497671892,8423.39239108459,5.335359473938591e+17,1.1074916499425613e+18
8437.615833919765,8437.614558434792,8435.733062319616,5.355588911151501e+17,1.1115139299095741e+18
8435.903680404692,8435.904759702402,8434.348466977619,5.3601028688449856e+17,1.1117315967184878e+18
8436.096358106653,8436.095145081621,8435.625514695292,5.354968127758596e+17,1.1112443952179283e+18
8439.066651779995,8439.065954245249,8441.359453432466,5.35731754643898e+17,1.1118847737656762e+18
8438.889574082012,8438.889935901225,8439.808832935718,5.3604999810399245e+17,1.1121788725909253e+18
8434.160232562797,8434.158205044801,8432.238691919867,5.3573510043727226e+17,1.1112184753479336e+18
8441.296973451792,8441.29319405141,8440.139733443551,5.3611668104539456e+17,1.112574363578699e+18
8440.429086846812,8440.428024554376,8443.380691747325,5.357547780744361e+17,1.1120938285598287e+18
8441.190828337234,8441.18953281131,8445.988706508097,5.358610423279641e+17,1.1123040799251791e+18
8417.84445723437,8417.844263062669,8415.711991291406,5.336865372624525e+17,1.1069455405883656e+18
8436.187034817083,8436.182775295028,8436.828904782175,5.3556513141097146e+17,1.1113250633727722e+18
8437.375474380377,8437.375255240648,8436.073804445838,5.35614572158446e+17,1.1115367829453158e+18
8420.957072516763,8420.951710824767,8415.872733272174,5.340903064079863e+17,1.1077734020873766e+18
8432.459372298734,8432.456566259323,8431.747801246995,5.353455842862558e+17,1.1105968449355288e+18
8422.499266437722,8422.498531777706,8420.863783109531,5.3459475505730054e+17,1.1084879105610084e+18
8424.146587292926,8424.145847065825,8426.218170165674,5.34278386608399e+17,1.1083959629728913e+18
8439.134772391828,8439.134389102866,8442.49451694255,5.354882801751153e+17,1.1116505743554282e+18
8437.200507752392,8437.199103477928,8437.890798068149,5.3523620000943635e+17,1.111134475775577e+18
8426.738624304862,8426.734919017392,8425.548441379025,5.3427490809948166e+17,1.1087459215964059e+18
8408.031484669897,8408.03017174759,8406.250524612251,5.319373433329961e+17,1.1038605813508297e+18
8409.942702524038,8409.942700868654,8408.378149125483,5.3228251762932883e+17,1.1044657859826057e+18
8425.798291249423,8425.79732400008,8427.559652914899,5.3347506280028186e+17,1.1078178008746717e+18
8434.606650512307,8434.603512833639,8434.4484818572,5.353516307498509e+17,1.1108958839631309e+18
8434.85634362182,8434.85300849149,8431.7668516599,5.3595174488606944e+17,1.1115301473613865e+18
8429.216312293174,8429.214591763212,8431.577246117176,5.3437806210774246e+17,1.1091868572118483e+18
8435.811688208825,8435.812357489816,8435.55436518007,5.356485531022208e+17,1.1113572745479657e+18
8435.5221585312,8435.520810691036,8438.318183983323,5.349390576342809e+17,1.1106081857204381e+18
8437.362566945836,8437.360196085821,8439.536580736047,5.347481897357967e+17,1.1106685522955663e+18
8437.399966282928,8437.39910372917,8435.41597620002,5.364017087419828e+17,1.1123272799997805e+18
8412.396331937694,8412.395190704709,8409.826390874961,5.331070600041005e+17,1.1056242747208346e+18
8440.26775446919,8440.266877680238,8440.45109510155,5.360627160218426e+17,1.1123798027965929e+18
8443.347533715307,8443.345804802337,8445.279404942874,5.358467736221403e+17,1.1125844798027885e+18
8437.513481833033,8437.51163771814,8438.194099809878,5.3520625446346304e+17,1.1111472566268891e+18
8434.038828253864,8434.037225661668,8434.1204271531,5.3541157562842336e+17,1.1108783336126967e+18
8421.212625980099,8421.21074780025,8423.18210333327,5.335661063611146e+17,1.1072838475977198e+18
8425.692179104874,8425.691131026975,8427.451167433563,5.342315334389363e+17,1.1085598054393527e+18
8423.60316186008,8423.59943782067,8422.286108637774,5.340828451699308e+17,1.108126437337637e+18
